,AGE,LENGTH,MAPSCOGRID,SLOPE,SUBAREA,DIAMETER,MATERIAL,PACP,SUBAREA_Encoded,MATERIAL_Encoded,MAPSCOGRID_Encoded
0,52.9,460,93G,0.0004,VC08_01,39,C.I.,2,285,1,966
1,22.3,844,93G,0.0005,VC09_01,54,CONCRETE,2,290,2,966
2,16.4,415,46L,0.004,MC04_04,8,P.V.C.,1,160,6,286
3,13.5,426,46H,0.018000000000000002,MC04_04,8,P.V.C.,1,160,6,284
4,48.0,259,89F,0.0206,CF05_03,6,V.C.,3,72,8,868
5,47.9,503,89F,0.0301,CF05_03,6,CONCRETE,2,72,2,868
6,14.4,112,119G,0.0057,VC11_03,8,P.V.C.,1,302,6,111
7,15.3,444,106U,0.0067,VC11_01,24,P.V.C.,1,300,6,86
8,15.2,396,106S,0.0038,VC11_01,24,P.V.C.,2,300,6,84
9,67.4,203,47Y,0.0337,MC03_06,6,V.C.,2,155,8,317
10,33.3,95,103H,0.0168,SC09_05,6,V.C.,3,233,8,20
11,35.4,382,103D,0.0183,SC09_02,6,P.V.C.,1,230,6,16
12,20.2,431,78K,0.0257,SC10_03,8,H.D.P.E.,1,237,5,748
13,35.7,180,103H,0.0563,SC09_02,6,P.V.C.,1,230,6,20
14,17.6,71,103D,0.0331,SC09_01,12,P.V.C.,1,229,6,16
15,15.1,417,103D,0.0142,SC09_02,21,P.V.C.,1,230,6,16
16,7.5,345,71L,0.0038,PCF15_01,36,P.V.C.,1,178,6,597
17,78.3,17,48Y,0.0118,MC03_01,6,CONCRETE,2,150,2,340
18,9.5,271,62E,0.0316,MC06_04,8,P.V.C.,1,173,6,457
19,3.0,65,62E,0.0365,MC06_04,8,P.V.C.,1,173,6,457
20,25.3,195,75Y,0.0018,CF05_01,30,CONCRETE,1,70,2,689
21,30.8,379,63Y,0.0014,BF04_01,15,V.C.,1,15,8,499
22,14.3,521,90A,0.0059,CF04_03,8,P.V.C.,2,65,6,897
23,82.5,252,90B,0.0041,CF04_03,8,CONCRETE,4,65,2,898
24,82.6,142,90A,0.0222,CF04_03,8,CONCRETE,4,65,2,897
25,11.4,301,61C,0.0219,MC03_06,8,P.V.C.,1,155,6,432
26,28.8,531,61H,0.08800000000000001,WF01_02,6,V.C.,3,307,8,437
27,7.8,81,89D,0.004,CF04_05,8,H.D.P.E.,1,67,5,866
28,7.8,502,89D,0.0042,CF04_05,8,H.D.P.E.,3,67,5,866
29,7.8,141,89D,0.0065,CF04_05,8,H.D.P.E.,3,67,5,866
30,62.2,30,90E,0.1133,CF04_05,8,CONCRETE,4,67,2,901
31,16.3,295,74Y,0.0039,CF12_02,8,C.I.,1,112,1,665
32,12.9,460,92G,0.0061,VC09_04,8,H.D.P.E.,1,293,5,948
33,12.4,439,92L,0.011000000000000001,VC09_03,8,P.V.C.,1,292,6,952
34,12.5,363,92F,0.004,VC09_04,8,P.V.C.,2,293,6,947
35,7.5,242,72N,0.0019,CF14_02,36,P.V.C.,1,125,6,614
36,1.1,327,78F,0.0638,SC10_04,8,P.V.C.,3,238,6,744
37,13.4,460,19Z,0.0055,BF05_08,8,P.V.C.,1,27,6,145
38,10.7,552,19Z,0.0089,BF05_08,8,P.V.C.,1,27,6,145
39,61.0,412,74N,0.0194,CF12_03,8,V.C.,4,113,8,655
40,27.5,230,103J,0.0104,CF09_04,10,P.V.C.,1,97,6,21
41,29.9,376,88T,0.004,CF08_02,8,P.V.C.,1,89,6,856
42,20.0,163,87Z,0.0141,CF08_05,8,P.V.C.,1,92,6,839
43,10.6,437,103X,0.006,CF09_03,8,P.V.C.,1,96,6,34
44,88.8,565,73X,0.0121,CF13_01,15,CONCRETE,3,120,2,640
45,5.9,316,21X,0.0099,BF09_03,8,P.V.C.,1,43,6,165
46,10.2,288,21X,0.0197,BF09_03,8,P.V.C.,1,43,6,165
47,17.9,488,61D,0.0438,MC03_06,8,P.V.C.,2,155,6,433
48,8.1,80,89D,0.0041,CF04_05,8,H.D.P.E.,1,67,5,866
49,8.1,304,89D,0.0055,CF04_05,8,H.D.P.E.,1,67,5,866
50,7.7,73,89H,0.0069,CF04_05,8,H.D.P.E.,1,67,5,870
51,7.7,290,89H,0.0052,CF04_05,8,H.D.P.E.,1,67,5,870
52,26.3,634,74Y,0.0023,CF12_02,10,P.V.C.,1,112,6,665
53,64.9,121,88A,0.006,CF12_01,12,CONCRETE,3,111,2,840
54,4.8,625,23J,0.004,DC03_01,30,P.V.C.,1,138,6,188
55,14.8,48,31H,0.0015,MC05_07,36,P.V.C.,1,168,6,191
56,12.9,408,72D,0.0146,WF05_02,8,P.V.C.,1,327,6,607
57,4.1,100,35S,0.0219,BF05_03,8,P.V.C.,1,22,6,248
58,33.2,663,47J,0.0023,MC04_04,30,V.C.,3,160,8,304
59,88.3,98,76B,0.0061,WF02_01,8,CONCRETE,5,312,2,692
60,13.8,69,76D,0.0033,CF01_04,27,D.I.,2,49,3,694
61,14.3,240,76D,0.0072,CF01_04,27,D.I.,3,49,3,694
62,15.6,187,76D,0.0235,CF01_05,24,D.I.,1,50,3,694
63,20.5,45,63W,0.0071,CF01_07,10,H.D.P.E.,1,52,5,497
64,8.0,463,76D,0.0069,CF01_04,10,H.D.P.E.,1,49,5,694
65,15.8,295,103N,0.0051,CF09_02,15,P.V.C.,1,95,6,25
66,16.4,238,102R,0.0408,CF09_02,8,P.V.C.,1,95,6,9
67,10.8,221,78A,0.0013,SC10_01,42,P.V.C.,3,235,6,739
68,44.1,94,50Y,0.0143,BF02_01,30,CONCRETE,3,4,2,375
69,49.0,99,62L,0.0017,MC03_01,45,CONCRETE,2,150,2,463
70,28.3,900,65B,0.0007,BF01_04,54,CONCRETE,2,3,2,526
71,22.3,14,93D,0.0007,VC08_01,54,CONCRETE,1,285,2,963
72,34.1,10,93G,0.55,VC08_01,8,V.C.,1,285,8,966
73,13.5,84,46H,0.0032,MC04_04,10,P.V.C.,1,160,6,284
74,26.9,422,106U,0.0033,VC11_01,24,CONCRETE,3,300,2,86
75,39.6,374,72C,0.0175,SC06_01,12,V.C.,2,210,8,606
76,17.5,412,74Y,0.0039,CF12_02,8,P.V.C.,1,112,6,665
77,12.5,281,92H,0.0009,VC09_02,18,P.V.C.,1,291,6,949
78,43.6,632,64H,0.0015,BF02_01,35,CONCRETE,3,4,2,511
79,44.2,1109,64C,0.0035,BF02_01,30,CONCRETE,5,4,2,508
80,25.3,535,72B,0.0474,WF05_05,6,P.V.C.,1,330,6,605
81,17.0,363,32P,0.0183,MC05_02,8,P.V.C.,1,163,6,206
82,13.5,507,93U,0.0003,VC10_01,48,CONCRETE,1,295,2,976
83,12.5,38,92H,0.0053,VC09_02,18,P.V.C.,1,291,6,949
84,7.1,73,63W,0.0137,CF01_03,12,P.V.C.,1,48,6,497
85,27.0,311,102R,0.0174,CF09_04,8,P.V.C.,1,97,6,9
86,62.5,157,74N,0.0241,CF12_03,8,V.C.,2,113,8,655
87,27.5,308,103J,0.0388,CF09_04,8,P.V.C.,1,97,6,21
88,15.7,306,103N,0.008,CF09_02,8,P.V.C.,1,95,6,25
89,15.7,47,103P,0.0268,CF09_02,8,P.V.C.,1,95,6,26
90,46.2,474,93Y,0.0004,VC10_01,36,CONCRETE,1,295,2,979
91,6.0,342,78F,0.0258,SC10_04,8,P.V.C.,1,238,6,744
92,6.0,103,78G,0.0407,SC10_04,8,P.V.C.,1,238,6,745
93,13.5,204,46H,0.0032,MC04_04,10,P.V.C.,1,160,6,284
94,13.5,102,46H,0.1121,MC04_04,10,P.V.C.,1,160,6,284
95,22.3,600,93L,0.0004,VC09_01,54,CONCRETE,2,290,2,969
96,15.0,291,106S,0.0023,VC11_01,24,P.V.C.,2,300,6,84
97,14.7,320,79F,0.0148,VC06_03,15,P.V.C.,1,278,6,768
98,10.8,376,78M,0.0133,VC07_03,8,P.V.C.,1,281,6,750
99,19.2,158,66Y,0.0246,VC03_02,6,P.V.C.,1,264,6,563
100,43.3,196,120B,0.0012,VC11_02,36,V.C.,3,301,8,122
101,13.5,411,119Z,0.0039,VC11_03,8,P.V.C.,1,302,6,120
102,35.0,562,80F,0.006,VC04_02,6,V.C.,2,268,8,803
103,12.8,168,81E,0.0482,VC01_01,8,P.V.C.,1,252,6,819
104,38.3,600,80H,0.0439,VC03_03,6,V.C.,2,265,8,805
105,12.5,187,92H,0.0016,VC09_02,18,P.V.C.,1,291,6,949
106,9.8,139,47Y,0.035,MC03_06,8,P.V.C.,1,155,6,317
107,17.8,253,78L,0.0049,SC10_03,8,H.D.P.E.,1,237,5,749
108,57.9,76,74P,0.0442,CF12_05,6,CONCRETE,2,115,2,656
109,35.7,308,103H,0.036000000000000004,SC09_02,6,P.V.C.,1,230,6,20
110,63.2,130,74P,0.0546,CF12_05,6,CONCRETE,3,115,2,656
111,7.1,480,71F,0.002,PCF15_01,36,P.V.C.,2,178,6,594
112,7.5,400,71L,0.0038,PCF15_01,36,P.V.C.,1,178,6,597
113,7.5,356,72N,0.0021,CF14_02,36,P.V.C.,3,125,6,614
114,2.2,155,77T,0.0173,SC02_05,8,P.V.C.,1,192,6,732
115,1.6,228,80N,0.0033,VC01_05,24,D.I.,1,256,3,810
116,51.6,470,89C,0.0029,CF05_02,24,CONCRETE,3,71,2,865
117,46.2,370,93U,0.0002,VC10_01,36,CONCRETE,1,295,2,976
118,16.3,212,74Y,0.0029,CF12_02,10,C.I.,1,112,1,665
119,7.7,24,93C,0.0613,VC08_01,24,CONCRETE,1,285,2,962
120,16.6,165,88C,0.0031,CF12_01,18,P.V.C.,1,111,6,842
121,52.2,233,89L,0.03,CF05_03,8,CONCRETE,3,72,2,873
122,50.5,43,89L,0.0861,CF05_03,6,V.C.,2,72,8,873
123,52.7,180,90N,0.0256,SC08_02,6,CONCRETE,3,224,2,909
124,15.7,119,88Q,0.0347,CF07_03,8,P.V.C.,2,84,6,853
125,12.1,236,76Q,0.0416,CF02_02,8,P.V.C.,1,54,6,705
126,64.9,220,87D,0.0081,CF12_01,12,CONCRETE,1,111,2,830
127,9.0,266,48F,0.0029,MC02_04,10,P.V.C.,1,148,6,323
128,9.2,291,74K,0.0003,WF04_02,8,P.V.C.,1,323,6,652
129,35.7,170,103G,0.0832,SC09_02,6,P.V.C.,1,230,6,19
130,35.7,302,103G,0.0424,SC09_02,6,P.V.C.,1,230,6,19
131,14.4,559,74L,0.0051,CF11_04,8,H.D.P.E.,3,107,5,653
132,16.1,138,21X,0.008,BF09_03,15,D.I.,1,43,3,165
133,0.2,52,78Q,0.0,SC11_04,8,H.D.P.E.,4,246,5,753
134,35.7,42,103H,0.0245,SC09_02,6,P.V.C.,1,230,6,20
135,3.0,141,62E,0.0745,MC06_04,8,P.V.C.,1,173,6,457
136,53.0,494,63T,0.0004,MC01_01,68,CONCRETE,3,141,2,494
137,60.0,243,80A,0.0288,VC04_04,8,CONCRETE,3,270,2,798
138,24.5,369,78E,0.0192,SC10_02,8,P.V.C.,1,236,6,743
139,83.1,370,61D,0.0458,MC03_05,6,CONCRETE,3,154,2,433
140,13.4,202,19Z,0.0185,BF05_08,8,P.V.C.,1,27,6,145
141,8.9,150,49W,0.0015,MC02_03,8,P.V.C.,1,147,6,362
142,17.9,101,35X,0.0025,BF05_02,8,P.V.C.,2,21,6,253
143,25.0,86,48U,0.019,MC02_04,6,D.I.,1,148,3,336
144,7.5,487,71R,0.0035,PCF15_01,36,P.V.C.,1,178,6,599
145,6.0,84,74Y,0.0012,CF12_02,10,P.V.C.,1,112,6,665
146,6.0,98,74Y,0.001,CF12_02,10,P.V.C.,1,112,6,665
147,10.9,128,76H,0.004,CF01_06,8,P.V.C.,1,51,6,698
148,25.3,261,72B,0.0307,WF05_05,6,P.V.C.,1,330,6,605
149,30.7,494,65G,0.0008,BF01_04,54,CONCRETE,2,3,2,527
150,15.1,314,103D,0.0057,SC09_02,21,P.V.C.,1,230,6,16
151,7.1,250,71F,0.0036,PCF15_01,36,P.V.C.,1,178,6,594
152,7.5,367,71L,0.0038,PCF15_01,36,P.V.C.,1,178,6,597
153,7.8,549,77T,0.013000000000000001,SC02_05,8,P.V.C.,1,192,6,732
154,26.6,132,102D,0.0369,CF07_04,8,P.V.C.,1,85,6,4
155,6.0,35,74Y,0.01,CF12_02,10,P.V.C.,1,112,6,665
156,61.3,219,48Y,0.0161,MC03_01,6,CONCRETE,4,150,2,340
157,3.0,180,62E,0.0421,MC06_04,8,P.V.C.,1,173,6,457
158,27.0,147,78B,0.052000000000000005,SC10_01,8,V.C.,2,235,8,740
159,48.5,289,80C,0.0228,VC04_01,6,CONCRETE,2,267,2,800
160,46.1,51,93X,0.0024,VC10_01,36,CONCRETE,2,295,2,978
161,83.8,111,90M,0.0865,SC04_02,6,CONCRETE,3,199,2,908
162,26.3,129,74Y,0.0038,CF12_02,10,P.V.C.,1,112,6,665
163,26.3,366,88C,0.0029,CF12_02,10,P.V.C.,3,112,6,842
164,41.0,405,79T,0.003,VC07_02,18,CONCRETE,3,280,2,780
165,8.5,68,79S,0.0028,VC07_02,10,D.I.,4,280,3,779
166,69.4,247,88B,0.003,CF12_01,12,CONCRETE,3,111,2,841
167,12.1,128,76Q,0.0577,CF02_02,8,P.V.C.,1,54,6,705
168,16.8,8,74X,0.2825,CF12_02,16,D.I.,3,112,3,664
169,35.6,226,74X,0.1231,CF12_02,6,V.C.,1,112,8,664
170,2.9,113,89M,0.0099,CF06_07,8,P.V.C.,1,81,6,874
171,2.9,276,90N,0.0065,CF06_07,8,P.V.C.,1,81,6,909
172,2.9,127,90N,0.0161,CF06_07,8,P.V.C.,1,81,6,909
173,22.8,297,36L,0.0202,BF06_05,8,P.V.C.,1,33,6,266
174,13.7,385,90N,0.0636,CF06_07,8,P.V.C.,1,81,6,909
175,0.3,88,75G,0.0265,CF10_04,8,P.V.C.,1,102,6,673
176,9.3,82,76K,0.0111,CF02_02,8,P.V.C.,1,54,6,700
177,23.4,40,76P,0.0425,CF03_01,10,H.D.P.E.,2,58,5,704
